Course Code,Course,Course Type,Section,SEM,Class Level,L,T,P,Credits
21BTIT732,Natural Language Processing,Elective-III,CORE,VII,LY,3,0,0,3
21BTIT737,Business Intelligence ,Elective-IV,CORE,VII,LY,3,0,0,3
21BTIT740,Entrepreneurship and Innovation,Open Elective,CORE,VII,LY,3,0,0,3
21BTDA701,Big Data Engineering,PCC,DA,VII,LY,3,0,0,3
21BTDA702,Deep Learning,PCC,DA,VII,LY,3,0,0,3
21BTDA711,Deep Learning Laboratory,PCC,DA,VII,LY,0,0,4,2
21BTDA712,Advanced Programming Laboratory III - BI,PCC,DA,VII,LY,0,0,4,2
21BTDA712,Advanced Programming Laboratory III - NLP,PCC,DA,VII,LY,0,0,2,2
21BTDA712,Advanced Programming Laboratory III - DM,PCC,DA,VII,LY,3,0,0,2
21BTDA721,Project Phase I,PCC,DA,VII,LY,0,0,2,1
21BTDA733,Natural Language Processing,Elective-III,DA,VII,LY,3,0,0,3
21BTDA731,Data Modernization,Elective-III,DA,VII,LY,3,0,0,3
21BTDA737,Business Intelligence,Elective-IV,DA,VII,LY,3,0,0,3
21BTDA741,Digital Marketing,Open Elective,DA,VII,LY,3,0,0,3
21BTSM701,Deep Learning,PCC,SMAD,VII,LY,3,0,0,3
21BTSM702,Full Stack Development,PCC,SMAD,VII,LY,2,0,4,4
21BTSM711,Immersive Application Development Laboratory,PCC,SMAD,VII,LY,0,0,4,2
21BTSM712,Advanced Programming Laboratory III - BI,PCC,SMAD,VII,LY,0,0,4,2
21BTSM712,Advanced Programming Laboratory III - DL,PCC,SMAD,VII,LY,0,0,4,2
21BTSM712,Advanced Programming Laboratory III - NLP,PCC,SMAD,VII,LY,0,0,4,2
21BTSM721,Project Phase-I,PCC,SMAD,VII,LY,0,0,2,1
21BTSM731,Natural Language Processing,Elective-III,SMAD,VII,LY,3,0,0,3
21BTSM735,Business Intelligence,Elective-IV,SMAD,VII,LY,3,0,0,3
21BTSM742,Product Engineering and Management,Open Elective,SMAD,VII,LY,3,0,0,3
